# learnsets.csv - which move a species learns, and at what level.
# A Pokemon created at level N knows the last four moves at or below level N.
# Every species MUST have at least one move at level 1.
speciesId,level,moveId
bulbasaur,1,tackle
bulbasaur,1,growl
bulbasaur,4,vine_whip
bulbasaur,13,poison_powder
bulbasaur,15,sleep_powder
bulbasaur,20,razor_leaf
bulbasaur,25,mega_drain
ivysaur,1,tackle
ivysaur,1,vine_whip
ivysaur,1,razor_leaf
ivysaur,22,poison_powder
ivysaur,28,mega_drain
ivysaur,34,solar_beam
venusaur,1,razor_leaf
venusaur,1,mega_drain
venusaur,1,sleep_powder
venusaur,40,solar_beam
venusaur,46,double_edge
charmander,1,scratch
charmander,1,growl
charmander,4,ember
charmander,13,metal_claw
charmander,19,fire_fang
charmander,25,slash
charmeleon,1,scratch
charmeleon,1,ember
charmeleon,17,metal_claw
charmeleon,24,fire_fang
charmeleon,30,slash
charmeleon,36,flamethrower
charizard,1,ember
charizard,1,slash
charizard,1,wing_attack
charizard,40,flamethrower
charizard,46,aerial_ace
squirtle,1,tackle
squirtle,1,tail_whip
squirtle,4,water_gun
squirtle,13,withdraw
squirtle,19,bite
squirtle,25,aqua_tail
wartortle,1,tackle
wartortle,1,water_gun
wartortle,1,withdraw
wartortle,22,bite
wartortle,28,aqua_tail
wartortle,36,surf
blastoise,1,water_gun
blastoise,1,bite
blastoise,1,aqua_tail
blastoise,42,surf
blastoise,48,crunch
caterpie,1,tackle
caterpie,1,string_shot
caterpie,5,bug_bite
metapod,1,harden
metapod,1,tackle
butterfree,1,gust
butterfree,1,confusion
butterfree,12,sleep_powder
butterfree,16,psybeam
butterfree,22,aerial_ace
weedle,1,poison_sting
weedle,1,string_shot
kakuna,1,harden
kakuna,1,poison_sting
beedrill,1,twineedle
beedrill,1,fury_cutter
beedrill,15,poison_sting
beedrill,20,bug_bite
beedrill,26,aerial_ace
pidgey,1,tackle
pidgey,5,gust
pidgey,9,quick_attack
pidgey,15,wing_attack
pidgey,21,aerial_ace
pidgeotto,1,gust
pidgeotto,1,quick_attack
pidgeotto,1,wing_attack
pidgeotto,25,aerial_ace
pidgeotto,31,drill_peck
rattata,1,tackle
rattata,1,tail_whip
rattata,4,quick_attack
rattata,10,bite
rattata,16,hyper_fang
raticate,1,quick_attack
raticate,1,bite
raticate,1,hyper_fang
raticate,26,crunch
raticate,32,double_edge
spearow,1,peck
spearow,1,growl
spearow,7,quick_attack
spearow,13,aerial_ace
spearow,19,drill_peck
fearow,1,peck
fearow,1,aerial_ace
fearow,1,drill_peck
fearow,27,agility
pikachu,1,thunder_shock
pikachu,1,tail_whip
pikachu,5,quick_attack
pikachu,10,thunder_wave
pikachu,16,spark
pikachu,26,thunderbolt
raichu,1,thunder_shock
raichu,1,quick_attack
raichu,1,spark
raichu,30,thunderbolt
raichu,36,agility
sandshrew,1,scratch
sandshrew,1,harden
sandshrew,7,mud_slap
sandshrew,13,slash
sandshrew,19,dig
sandshrew,26,earthquake
sandslash,1,scratch
sandslash,1,slash
sandslash,1,dig
sandslash,32,rock_slide
sandslash,38,earthquake
clefairy,1,pound
clefairy,1,sing
clefairy,9,disarming_voice
clefairy,15,fairy_wind
clefairy,22,body_slam
clefairy,28,recover
jigglypuff,1,pound
jigglypuff,1,sing
jigglypuff,9,disarming_voice
jigglypuff,14,body_slam
jigglypuff,20,fairy_wind
zubat,1,lick
zubat,5,gust
zubat,11,bite
zubat,17,wing_attack
zubat,23,toxic
golbat,1,bite
golbat,1,wing_attack
golbat,1,toxic
golbat,29,crunch
golbat,35,aerial_ace
oddish,1,absorb
oddish,5,poison_powder
oddish,9,stun_spore
oddish,13,sleep_powder
oddish,17,acid
oddish,21,mega_drain
oddish,27,razor_leaf
gloom,1,absorb
gloom,1,acid
gloom,1,sleep_powder
gloom,24,mega_drain
gloom,30,sludge
gloom,36,solar_beam
diglett,1,scratch
diglett,5,mud_slap
diglett,11,dig
diglett,19,slash
diglett,25,earthquake
dugtrio,1,mud_slap
dugtrio,1,dig
dugtrio,1,slash
dugtrio,32,earthquake
meowth,1,scratch
meowth,1,growl
meowth,8,bite
meowth,14,slash
meowth,20,crunch
persian,1,scratch
persian,1,bite
persian,1,slash
persian,32,crunch
persian,38,agility
psyduck,1,water_gun
psyduck,5,confusion
psyduck,12,psybeam
psyduck,18,aqua_tail
psyduck,25,surf
psyduck,30,psychic
growlithe,1,bite
growlithe,1,ember
growlithe,8,fire_fang
growlithe,14,headbutt
growlithe,22,flamethrower
growlithe,28,crunch
abra,1,confusion
abra,1,agility
abra,16,psybeam
kadabra,1,confusion
kadabra,1,psybeam
kadabra,22,recover
kadabra,30,psychic
machop,1,low_kick
machop,1,leer
machop,7,karate_chop
machop,13,headbutt
machop,19,dig
machop,25,cross_chop
machop,30,swords_dance
machoke,1,low_kick
machoke,1,karate_chop
machoke,1,headbutt
machoke,30,cross_chop
machoke,36,earthquake
geodude,1,tackle
geodude,1,harden
geodude,6,rock_throw
geodude,12,mud_slap
geodude,18,rock_tomb
geodude,24,dig
geodude,30,rock_slide
graveler,1,rock_throw
graveler,1,mud_slap
graveler,1,rock_tomb
graveler,28,dig
graveler,34,rock_slide
graveler,40,earthquake
magnemite,1,thunder_shock
magnemite,1,metal_claw
magnemite,11,thunder_wave
magnemite,17,spark
magnemite,25,thunderbolt
gastly,1,lick
gastly,1,night_shade
gastly,8,confusion
gastly,16,sludge
gastly,24,shadow_ball
haunter,1,lick
haunter,1,night_shade
haunter,1,confusion
haunter,28,shadow_ball
haunter,34,psychic
onix,1,tackle
onix,1,harden
onix,1,rock_throw
onix,10,rock_tomb
onix,18,dig
onix,26,rock_slide
onix,32,earthquake
cubone,1,growl
cubone,1,bone_club
cubone,9,headbutt
cubone,15,dig
cubone,21,rock_slide
cubone,27,earthquake
koffing,1,tackle
koffing,1,poison_sting
koffing,8,sludge
koffing,14,toxic
koffing,20,acid
koffing,26,body_slam
goldeen,1,peck
goldeen,1,tail_whip
goldeen,8,water_gun
goldeen,14,aqua_tail
goldeen,20,surf
magikarp,1,splash
magikarp,15,tackle
gyarados,1,bite
gyarados,1,aqua_tail
gyarados,1,dragon_rage
gyarados,25,crunch
