# moves.csv - every attack in the game.
# category: PHYSICAL uses Attack vs Defense, SPECIAL uses Sp. Attack vs Sp. Defense,
#           STATUS deals no damage and does something else instead.
# accuracy: 0 means the move never misses.
# priority: higher numbers go first no matter how slow the Pokemon is.
# effect:   see MoveEffect.java.  effectChance: percent chance the effect happens.
id,name,type,category,power,accuracy,pp,priority,effect,effectChance,description
tackle,Tackle,NORMAL,PHYSICAL,40,100,35,0,NONE,0,"A full-body charge."
scratch,Scratch,NORMAL,PHYSICAL,40,100,35,0,NONE,0,"Sharp claws rake the target."
pound,Pound,NORMAL,PHYSICAL,40,100,35,0,NONE,0,"A blow with a forelimb or tail."
quick_attack,Quick Attack,NORMAL,PHYSICAL,40,100,30,1,NONE,0,"An almost invisible dash that always strikes first."
headbutt,Headbutt,NORMAL,PHYSICAL,70,100,15,0,NONE,0,"A reckless charge with the head."
slash,Slash,NORMAL,PHYSICAL,70,100,20,0,HIGH_CRIT,100,"Critical hits land more often."
hyper_fang,Hyper Fang,NORMAL,PHYSICAL,80,90,15,0,NONE,0,"A vicious bite with huge front teeth."
body_slam,Body Slam,NORMAL,PHYSICAL,85,100,15,0,PARALYZE,30,"A heavy drop that may paralyse."
double_edge,Double-Edge,NORMAL,PHYSICAL,120,100,15,0,RECOIL_THIRD,100,"A life-risking tackle that hurts the user too."
growl,Growl,NORMAL,STATUS,0,100,40,0,ATTACK_DOWN,100,"A cute cry that lowers the foe's Attack."
tail_whip,Tail Whip,NORMAL,STATUS,0,100,30,0,DEFENSE_DOWN,100,"A wagging tail that lowers the foe's Defense."
leer,Leer,NORMAL,STATUS,0,100,30,0,DEFENSE_DOWN,100,"A sharp stare that lowers the foe's Defense."
harden,Harden,NORMAL,STATUS,0,0,30,0,DEFENSE_UP,100,"The user stiffens to raise its Defense."
swords_dance,Swords Dance,NORMAL,STATUS,0,0,20,0,ATTACK_UP,100,"A frenetic dance that sharply raises Attack."
recover,Recover,NORMAL,STATUS,0,0,10,0,HEAL_HALF,100,"Restores up to half of the user's maximum HP."
sing,Sing,NORMAL,STATUS,0,55,15,0,SLEEP,100,"A soothing song that puts the foe to sleep."
