# species.csv - one row per kind of Pokemon.
# Students: add a new creature by adding a row here, then giving it moves in learnsets.csv.
# Columns starting with '#' are comments and are ignored by the loader.
dex,id,name,type1,type2,hp,attack,defense,spAttack,spDefense,speed,catchRate,baseExp,evolvesInto,evolveLevel,starter,dexEntry
1,bulbasaur,Bulbasaur,GRASS,POISON,45,49,49,65,65,45,45,64,ivysaur,16,true,"A strange seed was planted on its back at birth."
2,ivysaur,Ivysaur,GRASS,POISON,60,62,63,80,80,60,45,142,venusaur,32,false,"The bud on its back grows as it absorbs sunlight."
3,venusaur,Venusaur,GRASS,POISON,80,82,83,100,100,80,45,236,none,0,false,"Its flower releases a soothing scent in battle."
4,charmander,Charmander,FIRE,none,39,52,43,60,50,65,45,62,charmeleon,16,true,"The flame on its tail shows the strength of its life force."
5,charmeleon,Charmeleon,FIRE,none,58,64,58,80,65,80,45,142,charizard,36,false,"It has a barbaric nature and slashes with sharp claws."
6,charizard,Charizard,FIRE,FLYING,78,84,78,109,85,100,45,240,none,0,false,"It spits fire hot enough to melt boulders."
7,squirtle,Squirtle,WATER,none,44,48,65,50,64,43,45,63,wartortle,16,true,"It shelters in its shell and sprays foam from its mouth."
8,wartortle,Wartortle,WATER,none,59,63,80,65,80,58,45,142,blastoise,36,false,"Its tail is a symbol of longevity among trainers."
9,blastoise,Blastoise,WATER,none,79,83,100,85,105,78,45,239,none,0,false,"The jets on its shell can punch through steel."
10,caterpie,Caterpie,BUG,none,45,30,35,20,20,45,255,39,metapod,7,false,"Its short feet are tipped with suction pads."
11,metapod,Metapod,BUG,none,50,20,55,25,25,30,120,72,butterfree,10,false,"It is waiting for the moment to evolve."
12,butterfree,Butterfree,BUG,FLYING,60,45,50,90,80,70,45,178,none,0,false,"It loves the honey of flowers and can find it anywhere."
13,weedle,Weedle,BUG,POISON,40,35,30,20,20,50,255,39,kakuna,7,false,"The sharp stinger on its head is highly venomous."
14,kakuna,Kakuna,BUG,POISON,45,25,50,25,25,35,120,72,beedrill,10,false,"Nearly incapable of moving, it hardens its shell."
15,beedrill,Beedrill,BUG,POISON,65,90,40,45,80,75,45,178,none,0,false,"It flies at high speed and attacks with its stingers."
16,pidgey,Pidgey,NORMAL,FLYING,40,45,40,35,35,56,255,50,pidgeotto,18,false,"A docile bird that prefers to avoid a fight."
17,pidgeotto,Pidgeotto,NORMAL,FLYING,63,60,55,50,50,71,120,122,none,0,false,"It patrols a wide territory from the sky."
19,rattata,Rattata,NORMAL,none,30,56,35,25,35,72,255,51,raticate,20,false,"It will nibble on anything it can find."
20,raticate,Raticate,NORMAL,none,55,81,60,50,70,97,127,145,none,0,false,"Its fangs grow constantly, so it gnaws to wear them down."
21,spearow,Spearow,NORMAL,FLYING,40,60,30,31,31,70,255,52,fearow,20,false,"It flaps its short wings busily to stay airborne."
22,fearow,Fearow,NORMAL,FLYING,65,90,65,61,61,100,90,155,none,0,false,"Its stamina lets it fly all day on its huge wings."
25,pikachu,Pikachu,ELECTRIC,none,35,55,40,50,50,90,190,112,raichu,22,false,"It stores electricity in the pouches on its cheeks."
26,raichu,Raichu,ELECTRIC,none,60,90,55,90,80,110,75,218,none,0,false,"Its long tail acts as a ground to protect it from shocks."
27,sandshrew,Sandshrew,GROUND,none,50,75,85,20,30,40,255,60,sandslash,22,false,"It curls into a ball to shield its soft belly."
28,sandslash,Sandslash,GROUND,none,75,100,110,45,55,65,90,158,none,0,false,"It attacks with the hardened spikes on its back."
35,clefairy,Clefairy,FAIRY,none,70,45,48,60,65,35,150,113,none,0,false,"Rarely seen, it is said to gather under a full moon."
39,jigglypuff,Jigglypuff,NORMAL,FAIRY,115,45,20,45,25,20,170,95,none,0,false,"It sings a lullaby that no one can resist."
41,zubat,Zubat,POISON,FLYING,40,45,35,30,40,55,255,49,golbat,22,false,"It navigates in total darkness using ultrasonic waves."
42,golbat,Golbat,POISON,FLYING,75,80,70,65,75,90,90,159,none,0,false,"It flits through the night looking for prey."
43,oddish,Oddish,GRASS,POISON,45,50,55,75,65,30,255,64,gloom,21,false,"During the day it buries itself in the soil."
44,gloom,Gloom,GRASS,POISON,60,65,70,85,75,40,120,138,none,0,false,"Its horrid smell can be detected a mile away."
50,diglett,Diglett,GROUND,none,10,55,25,35,45,95,255,53,dugtrio,26,false,"It burrows through soil and leaves the ground soft."
51,dugtrio,Dugtrio,GROUND,none,35,100,50,50,70,120,50,149,none,0,false,"Three Diglett that dig as a single team."
52,meowth,Meowth,NORMAL,none,40,45,35,40,40,90,255,58,persian,28,false,"It loves round, shiny objects and collects them."
53,persian,Persian,NORMAL,none,65,70,60,65,65,115,90,154,none,0,false,"Its six bold whiskers sense air movements."
54,psyduck,Psyduck,WATER,none,50,52,48,65,50,55,190,64,none,0,false,"A constant headache unleashes its psychic powers."
58,growlithe,Growlithe,FIRE,none,55,70,45,70,50,60,190,70,none,0,false,"Very protective of its territory and very loyal."
63,abra,Abra,PSYCHIC,none,25,20,15,105,55,90,200,62,kadabra,16,false,"It sleeps eighteen hours a day but senses danger awake."
64,kadabra,Kadabra,PSYCHIC,none,40,35,30,120,70,105,100,140,none,0,false,"It emits alpha waves strong enough to cause headaches."
66,machop,Machop,FIGHTING,none,70,80,50,35,35,35,180,61,machoke,28,false,"It trains by lifting boulders to build its muscles."
67,machoke,Machoke,FIGHTING,none,80,100,70,50,60,45,90,142,none,0,false,"Its muscles never tire, however much it works."
74,geodude,Geodude,ROCK,GROUND,40,80,100,30,30,20,255,60,graveler,25,false,"It is often mistaken for an ordinary rock on a path."
75,graveler,Graveler,ROCK,GROUND,55,95,115,45,45,35,120,137,none,0,false,"It rolls down mountain paths, growing as it goes."
81,magnemite,Magnemite,ELECTRIC,STEEL,25,35,70,95,55,45,190,65,none,0,false,"It floats using electromagnetic waves."
92,gastly,Gastly,GHOST,POISON,30,35,30,100,35,80,190,62,haunter,25,false,"A thin gas body that can slip through any gap."
93,haunter,Haunter,GHOST,POISON,45,50,45,115,55,95,90,142,none,0,false,"It hides in the dark and licks with its gaseous tongue."
95,onix,Onix,ROCK,GROUND,35,45,160,30,45,70,45,77,none,0,false,"It tunnels through the ground at fifty miles an hour."
104,cubone,Cubone,GROUND,none,50,50,95,40,50,35,190,64,none,0,false,"It wears the skull of its mother and cries at night."
109,koffing,Koffing,POISON,none,40,65,95,60,45,35,190,68,none,0,false,"It is filled with toxic gases and floats lightly."
118,goldeen,Goldeen,WATER,none,45,67,60,35,50,63,225,64,none,0,false,"Its dorsal and pectoral fins are strong and graceful."
129,magikarp,Magikarp,WATER,none,20,10,55,15,20,80,255,40,gyarados,20,false,"Famously weak - but its evolution is feared by all."
130,gyarados,Gyarados,WATER,FLYING,95,125,79,60,100,81,45,189,none,0,false,"Once it appears, its rage does not stop until all is ruined."
133,eevee,Eevee,NORMAL,none,55,55,50,45,65,55,45,65,none,0,false,"Its unstable genes hold the promise of many evolutions."
147,dratini,Dratini,DRAGON,none,41,64,45,50,50,50,45,60,dragonair,30,false,"It sheds its skin again and again as it grows."
148,dragonair,Dragonair,DRAGON,none,61,84,65,70,70,70,45,147,none,0,false,"It is said to change the weather around it."
